Document Title,Abstract,Year,PDF Link,Authors,Source,abs,label
case history international space station requirement faul,never enough time money perform verification validation amp independent verification validation iv amp aspect software development project particularity complex computer system high level knowledge potential existence specific requirement fault increase project risk specific amp technique requirement tracing code analysis etc contribute improved software reliability reduced risk approach problem fault based analysis proposed case history national aeronautics space administration nasa international space station i project presented illustrate use specifically tailored requirement fault taxonomy used perform trend analysis historical profile three i computer software configuration item well build prototype common cause tree i engineer evaluated result extracted lesson learned,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1690351,"By Jane Huffman Hayes , Inies C.M. Raphael , Elizabeth Ashlee Holbrook , David M. Pruett","Found in: 11th IEEE International Conference on Engineering of Complex Computer Systems (ICECCS'06) 
Issue Date:August 2006 
pp. 17-26",0,0
case study combining framework notation,agent oriented conceptual modeling aocm framework gaining wider popularity software engineering paper using aocm framework notation together requirement engineering formal technique like suitable designed work later phase early design stage system development argue early requirement analysis crucial phase software development understanding organisational environment reasoning rationale underlying requirement along goal social dependency stakeholder important model build effective computing system framework one language address early stage issue cited extremely well support modeling social dependency agent respect task goal functional non functional developed methodology involving combined use notation agent oriented approach suggest perform one one mapping framework first instance general model mapped schema diagram emergency flood rescue management case study mapped step explaining information refinement example also provided using specification schema position express property restricted current state system also past future history case study described paper taken one important responsibility emergency service agency managing flood rescue evacuation operation using case study tested effectiveness methodology real life application,2004,http://core.ecu.edu/vilkomirs/papers/vilkomir-iceis.pdf,"Aneesh Krishna, Sergiy Vilkomir, Aditya Ghose","Proceedings of ICEIS-2004: The 6th International Conference on Enterprise Information Systems, Porto",0,0
case study reading technique software company,software inspection efficient method detect fault early software lifecycle shown several empirical study together experiment reading technique however experiment industrial setting often considered expensive software organization hence many evaluation performed academic environment artificial document paper describe empirical study software organization requirement document development used compare two reading technique several benefit well drawback using kind approach extensively discussed paper reading technique compared standard technique used organization checklist based test perspective perspective based reading main result test perspective perspective based reading seems effective efficient company standard method impact study software organization apply new reading technique future requirement inspection,2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1334910,"By Tomas Berling , Thomas Thelin","Found in: 2004 International Symposium on Empirical Software Engineering (ISESE'04) ,Issue Date:August 2004 , pp. 229-238",0,0
case study crm adoption success factor analysis six sigma dmaic application,today increasingly competitive economy many organization initiated customer relationship management crm project improve customer satisfaction revenue growth employee productivity gain however successful crm implementation successfully completed order enhance crm implementation process increase success rate paper first present significant success factor crm implementation identified result literature review survey conducted propose strategy integrate six sigma dmaic methodology crm implementation process addressing five critical success factor csf finally provide case study show proposed approach applied real crm implementation project conclude considering critical success factor proposed approach emphasize critical part implementation process provide high possibility crm adoption success,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4297022,"By Zhedan Pan , Hoyeon Ryu , Jongmoon Baik","Found in: 5th ACIS International Conference on Software Engineering Research, Management & Applications (SERA 2007) 
Issue Date:August 2007 , pp. 828-838",0,0
cautionary note checking software engineering paper plagiarism,several tool marketed educational community plagiarism detection prevention article briefly contrast performance two leading tool turnitin mydropbox detecting submission obviously plagiarized article published ieee journal tool performed poorly compare submitted writing publication ieee database moreover tool cover association computing machinery acm database several others important scholarly work software engineering report tool suggesting submission ldquopassedrdquo encourage false confidence integrity submitted writing additionally student submit draft determine extent tool detect plagiarism work tool sample engineering professional literature narrowly student chooses plagiarize use tool determine plagiarism invisible faculty member appearance successful plagiarism prevention may fact reflect better training student avoid plagiarism detection,2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4455465,C. Kaner and R. L. Fiedler.,"Ieee Transactions on Education 51 (2):184-188, 2008.",0,0
citation analysis ace proceeding reference june core conference journal ranking,paper compare core ranking computing education conference journal frequency citation journal conference ace proceeding assumption underlying study citation rate measure esteem positive relationship citation rate ranking core conference ranking appear broadly reflect ace citation inconsistency citation rate journal ranking paper also identifies commonly cited book ace proceeding finally spirit quis custodiet ipsos custodes paper discus way core ranking process might future made transparent open scholarly discourse,2008,http://dl.acm.org/citation.cfm?id=1379258&CFID=932218899&CFTOKEN=37645224,"Raymond Lister, Ilona Box","ACE '08: Proceedings of the tenth conference on Australasian computing education - Volume 78,   Volume 78 , January 2008, Publisher: Australian Computer Society, Inc.",0,0
classification proposal computer assisted knee system,paper compare classification technique identify several power quality disturbance frame smart metering design smart grid high penetration pv system technique linear discriminant analysis lda nearest neighbor method knn learning vector quantization lvq support vector machine svm purpose fourteen power quality feature based higher order statistic used assist classification special attention paid spectral kurtosis whose nature enables measurement option related impulsiveness power quality event best technique compared selected according correlation mistake rate result clearly reveal potential capability methodology classifying single disturbance concretely svm classifier obtained average correlation rate hence concluding robust classification method,2015,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7125534,"F. Picard, J. Moody, B. Jaramaz, A. DiGioia, C. Nikou and R.S. LaBarca","Book Series Lecture Notes in Computer Science, Volume 1935/2000, Book Medical Image Computing and Computer-Assisted Intervention ? MICCAI 2000, Pages 1145-1151, SpringerLink Date Wednesday, February 11, 2004",0,0
cognitive based mechanism constructing software inspection team,software inspection well known effective mean defect detection nevertheless recent research suggested technique requires development optimize inspection process process inherently group based one approach improving performance attempt minimize commonality within process group work proposes approach add diversity process using cognitively based team selection mechanism paper argues team diverse information processing strategy defined selection mechanism maximize number different defect discovered,2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1359772,Zhichao Yin / James Miller,"IEEE Transactions on Software Engineering,   Volume 30 Issue 11, November 2004, Publisher: IEEE Press",0,0
collaborative augmented reality system using transparent display,augmented reality technique integrate virtual computer generated information object real world real world object thus augmented property function help computer one author proposed augmented reality system transparent display used mean integration real world virtual world paper discus extension system used collaborative working environment capturing gesture mean user interaction realized single camera aiming simplifying system setup image analysis propose idea utilizing statistical data human body human perceptional characteristic well vision technique two application presented explain usefulness system one game like application call mind mind communication messenger object,2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1376689,"By Masahito Hirakawa , Satoshi Koike","Found in: IEEE Sixth International Symposium on Multimedia Software Engineering (ISMSE'04) 
Issue Date:December 2004 
pp. 410-416",0,0
comparative analysis efficiency change metric static code attribute defect prediction,paper present comparative analysis predictive power two different set metric defect prediction choose one set product related one set process related software metric use classifying java file eclipse project defective respective defect free classification model built using three common machine learner logistic regression naive bayes decision tree allow different cost prediction error perform cost sensitive classification prof successful gt percentage correctly classified file recall gt false positive rate lt result indicate eclipse data process metric efficient defect predictor code metric,2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814129,"Raimund Moser, Witold Pedrycz, Giancarlo Succi","May 2008 
ICSE '08: Proceedings of the 30th international conference on Software engineering 
Publisher: ACM
ABSTRACT",0,0
comparative longitudinal study non verbal mouse pointer,longitudinal study two non speech continuous cursor control system presented paper whistling user interface vocal joystick vj study combine quantitative qualitative method get better understanding novice user experience time three hypothesis tested study quantitative data show performed better error rate simulating mouse click vj better measure qualitative data indicate participant opinion regarding tool improved day day perceived le fatiguing vj approached performance vj end study period indicating two system achieve similar performance user get experienced using study support two hypothesis provide enough evidence support one hypothesis,2007,http://dl.acm.org/citation.cfm?id=1778386&CFID=932210075&CFTOKEN=11825007,"Murni Mahmud, Adam J. Sporka, Sri H. Kurniawan and Pavel Slav?k","Book Series Lecture Notes in Computer Science, Volume 4663/2007, Book Human-Computer Interaction ? INTERACT 2007, Pages 489-502, SpringerLink Date Friday, September 07, 2007",0,0
comparison requirement specification method software architecture perspective,one key challenge producing high quality software architecture identifying understanding software architecturally significant requirement requirement one far reaching effect architecture report five method elicitation expression requirement evaluated respect ability capture architecturally significant requirement method evaluated requirement specification using natural language use case analysis quality attribute workshop developed carnegie mellon software engineering institute global analysis approach developed fergus brien method chosen widespread use emphasize capture architecturally significant requirement three problem must solved systematically transform business mission goal architecturally significant requirement requirement must expressed form provides information necessary design elicitation requirement must capture architecturally significant requirement business mission goal must provide systematic input elicitation process primary finding evaluation method promising solution first two problem however method systematically considering business mission goal requirement elicitation,2006,http://repository.cmu.edu/sei/389/,"Len Bass, John Bergey, Paul Clements, Paulo Merson, Ipek Ozkaya, Raghvinder Sangwan","TECHNICAL REPORT, CMU/SEI-2006-TR-013, ESC-TR-2006-013, August 2006",0,0
comprehensive synthesis research,paper introduces concept reflection matrix coupling matrix filter reconfiguration shown reflection matrix complementary rotation matrix useful concept used alternatively rotation matrix similarity transformation applied order transform coupling matrix suitable form cross coupled filter example given concept used,2015,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7411795,Niki Davis and Roger Carlsen,"Book Series IFIP International Federation for Information Processing, Volume 161/2005, Book Education and the Knowledge Society, Pages 3-14, SpringerLink Date Saturday, December 17, 2005",0,0
computational method viewing molecular interaction docking,huge amount molecular data available protein data bank various library amount increasing day day devising new efficient computational method extract useful information data big challenge researcher working field computational molecular docking refers computational method attempt obtain best binding conformation two interacting molecule information best binding conformation useful many application rational drug design recognition cellular pathway macromolecular assembly protein folding etc docking three important aspect modeling molecular shape ii shape matching iii scoring ranking potential solution paper new approach proposed shape matching rigid body docking method give visual information matching conformation molecule approach proposed spline surface representation technique used model patch molecular surface surface normal curvature property used match patch approach used generation surface patch useful pixellisation paradigm,2006,http://dl.acm.org/citation.cfm?id=1759380&CFID=932209984&CFTOKEN=73070729,"Vipin K. Tripathi, Bhaskar Dasgupta and Kalyanmoy Deb","Book Series Lecture Notes in Computer Science, Volume 4370/2007, Book Pixelization Paradigm, Pages 152-163, SpringerLink Date Saturday, May 19, 2007",0,0
computerized infrastructure supporting experimentation software engineering,software engineering se predominantly team effort need close cooperation among several people may geographically distributed recognized appropriate tool support prerequisite improve cooperation within se team effort contribute line research designed developed infrastructure called abc gsd based model activity theory principle activity based computing abc paradigm paper present study empirically evaluates ability abc gsd supporting team cooperation designed executed study based scenario simulated follow sun ft strategy global se gse research design allowed u ensure cooperation computer mediated well contained within observable short time window hand activity ft strategy result overall result show cooperation support provided abc gsd system positively perceived participant nonetheless open issue stimulating investigation raised especially due mixed result aware limitation simulated scenario conclude approach followed abc gsd system based activity desirable improve cooperation support se finally research approach based simulating scenario geographical temporal distribution provide useful idea assessing collaborative technology se,2016,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7577417,"Paula G. Mian, Guilherme H. Travassos and Ana Regina C. da Rocha",2nd Experimental Software Engineering Latin American Workshop ? ESELAW?05,0,0
concept based framework retrieving evidence support emergency physician decision making point care,goal evidence based medicine uniformly apply evidence gained scientific research aspect clinical practice order achieve goal new application integrate increasingly disparate health care information resource required access provision evidence must seamlessly integrated existing clinical workflow evidence made available often required point care paper address requirement outline concept based framework capture context current patient physician encounter combining disease patient specific information logical query mechanism retrieving relevant evidence cochrane library returned document organized automatically extracting concept evidence based query create meaningful cluster document presented manner appropriate point care support framework currently implemented prototype software agent operates within larger context multi agent application supporting workflow management emergency pediatric asthma exacerbation,2007,http://dl.acm.org/citation.cfm?id=1793667&CFID=932217831&CFTOKEN=19390991,"Dympna O?Sullivan, Ken Farion, Stan Matwin, Wojtek Michalowski and Szymon Wilk","Book Series Lecture Notes in Computer Science,Volume 4924/2008, Book Knowledge Management for Health Care Procedures, Pages 117-126, SpringerLink Date Saturday, February 23, 2008",0,0
content based retrieval system renal scintigraphy image,increasing amount image data raise importance content based query system increasing hardware capacity improving method make development system feasible study aim develop content based image retrieval renal kidney scintigraphy image purpose problem analysis literature survey data gathering processing study done content based image retrieval cbir engine software prototype developed,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1659919,"Nar, F.a , Mumcuog?lu, E.a , Koc?ak, U.a , Ug?ur, O?.b , Bozkurt, F.b , Aslan, M.b , Gu?nes?tepe, K.a , Cerrahog?lu, M.a","(2006) 2006 IEEE 14th Signal Processing and Communications Applications Conference, 2006, art. no. 1659919, .",0,0
cost effective usability evaluation progression novel interactive system,paper report user interface design evaluation mobile outdoor augmented reality ar application novel system called battlefield augmented reality system bar support information presentation entry situation awareness urban war fighting setting knowledge first time extensive use usability engineering systematically applied development real world ar system bar team applied cost effective progression usability engineering activity beginning bar development discus first applied cycle structured expert evaluation bar user interface development employing user interface mockups representing occluded non visible object discus result evaluation informed subsequent user based statistical evaluation formative evaluation present evaluation outcome finally discus sequence type evaluation cost effective,2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265653,"By Deborah Hix , Joseph L. Gabbard , J. Edward Swan II , Mark A. Livingston , Tobias H. Hollerer , Simon J. Julier , Yohan Baillot , Dennis Brown","Found in: Proceedings of the 37th Annual Hawaii International Conference on System Sciences (HICSS'04) - Track 9
Issue Date:January 2004 , pp. 90276c",0,0
critical analysis council europe recommendation voting,september council europe committee minister officially adopted set standard recommended multidisciplinary ad hoc group specialist legal operational technical standard enabled voting paper put standard historical context examines according established software engineering principle finally suggests could restructured,2006,http://dl.acm.org/citation.cfm?id=1251012&CFID=932213982&CFTOKEN=88044337,Margaret McGaley and J. Paul Gibson,"Proceedings of the USENIX/Accurate Electronic Voting Technology Workshop 2006 on Electronic Voting Technology Workshop, Vancouver, B.C., Canada, Pages: 9 ? 9, Year of Publication: 2006",0,0
critical approach privacy research ubiquitous environment issue underlying assumption,paper explores different aspect ubiquitous environment regard protection individual private life critical review relative research reveals two major trend first shift perception privacy protection increasingly considered responsibility individual instead individual right protected central authority state law second appears current research largely based assumption personal privacy quantifiable bargainable paper discus impact trend underline issue challenge emerge paper stress time research approach privacy ubiquitous environment without taking account different aspect basic principle privacy finally paper stress need multidisciplinary research area importance research receives input related discipline law psychology aim paper contribute ongoing discourse nature privacy role ubiquitous environment provide insight future research,2007,http://dl.acm.org/citation.cfm?id=1780831&CFID=932219082&CFTOKEN=62315287,"Maria Karyda, Stefanos Gritzalis and Jong Hyuk Park","Book Series Lecture Notes in Computer Science, Volume 4809/2007, Book Emerging Directions in Embedded and Ubiquitous Computing, Pages 12-21, SpringerLink Date Tuesday, November 27, 2007",0,0
cross cultural study flow experience environment beginning,flow optimal experience widely investigated environment human computer interaction computer mediated communication exploratory behaviour consumer marketing application educational practice playing computer video online game psychological rehabilitation disabled web usability testing etc though universal experience flow expected culture specific culture dependent optimal experience rarely studied cross cultural perspective mainly field gaming activity overview earliest work field presented well empirical evidence study referring flow experience interaction pattern inherent sample russian french online player,2007,http://dl.acm.org/citation.cfm?id=1784321&CFID=932213054&CFTOKEN=98968856,Alexander E. Voiskounsky,"Book Series Lecture Notes in Computer Science, Volume 4564/2007, Book Online Communities and Social Computing, Pages 202-211, SpringerLink Date Friday, August 24, 2007",0,0
cross lingual framework web news taxonomy integration,currently many news site providing online news article many web news portal arise provide clustered news category user browse related news report realize news event depth however best knowledge web news portal provide monolingual news clustering service paper study cross lingual web news taxonomy integration problem news article news event reported different language integrated one category study based cross lingual classification research result cross training concept construct svm based classifier cross lingual web news taxonomy integration conducted several experiment news article google news experimental data set experimental result find proposed cross training classifier outperforms traditional svm classifier round manner believe proposed framework applied different bilingual environment,2006,http://dl.acm.org/citation.cfm?id=2111263&CFID=932218719&CFTOKEN=56773150,"Cheng-Zen Yang, Che-Min Chen and Ing-Xiang Chen","Book Series Lecture Notes in Computer Science, Volume 4182/2006, Book Information Retrieval Technology, Pages 270-283, SpringerLink Date Wednesday, October 18, 2006",0,0
curriculum embedded system engineering,paper describes educational achievement embedded system field academic year national college technology called kosen author continuing specialized education field embedded system order let student work ready engineer various industrial field however recently getting harder harder student imagine future vision engineer excite spontaneous motivation learn one reason fact difficult student imagine relationship final embedded product elementary content lecture study college furthermore recent embedded system complex put whole picture together cope problem achieved following four activity improvement curriculum maturing educational partnership local school open lecture provide early education pupil student future developing multiplicity carrying microprocessor board new teaching material online manual software library carrying several special lecture meeting held various stage student order provide opportunity become interested actual industrial field incorporating lecture model based embedded product design advanced course student activity improvement curriculum provided diverse opportunity student verified effectiveness activity using questionnaire student affirmed effectiveness,2012,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6360376,Rudolph E. Seviora,ACM Transactions on Embedded Computing Systems (2005),0,0
data integration broker healthcare system,prototype information broker us software service model collect integrate diverse patient data autonomous healthcare agency potentially solving many problem challenge current enterprise based file system,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160220,"By David Budgen , Michael Rigby , Pearl Brereton , Mark Turner","Computer 
Issue Date:April 2007 
pp. 34-41",0,0
defect prediction method software version difference,one challenge software organization prediction acceptable degree software effort invested software project term required hour work required number people project probably one important analysed variable recent year process prediction project success thus effort estimation high grade reliability remains one risky component project manager deal since inception project development past decade hence prediction product quality within software engineering preventive corrective action within various project phase constantly improved paper therefore introduces novel hybrid method random forest rf fuzzy mean fcm clustering building defect prediction model initially random forest algorithm used perform preliminary screening variable gain importance rank subsequently new dataset input fcm technique responsible building interpretable model predicting defect capability combination method evaluated using basic performance measurement along fold cross validation fcm rf technique applied software component people process act major decision making model project success experimental result show proposed method provides higher accuracy relatively simple model enabling better prediction software defect,2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6892743,Yomi Kastro,"Submitted to the Institute for Graduate Studies in Science and Engineering in partial fulfillment of the requirements for the degree of Master of Science, Graduate Program in Computer Engineering, Bogazi?i University, 2006",0,0
deferrable scheduling algorithm real time transaction maintaining data freshness,periodic update transaction model used maintain freshness temporal validity real time data period deadline assignment main focus past study le scheme xiong ramamrithan update transaction guaranteed deadline monotonic scheduling algorithm leung whitehead complete deadline paper propose novel algorithm namely deferrable scheduling minimizing imposed workload maintaining temporal validity real time data contrast previous work update transaction scheduled deferrable scheduling algorithm follow sporadic task model deferrable scheduling algorithm exploit semantics temporal validity constraint real time data judiciously deferring sampling time update transaction job late possible present theoretical analysis processor utilization verified experiment experimental result also demonstrate deferrable scheduling algorithm effective approach significantly outperforms le scheme term reducing processor workload,2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1563093,"By Ming Xiong , Song Han , Kam-Yiu Lam","Found in: 26th IEEE International Real-Time Systems Symposium (RTSS'05) 
Issue Date:December 2005 
pp. 27-37",0,0
design evidence based soft research,data processing key issue design rfid middleware general processing mode based event data processed output solution canpsilat really meet need various application system nevertheless complex event processing technology overcome disadvantage effectively according principle make effective manage rfid data paper proposes rfid data processing model based complex event processing cep technique provides related definition elaborates function module involved event monitoring module buffer module event processing module event sending subscribe module solution,2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4723171,"WenQian Liu, Charles L. Chen, Vidya Lakshminarayanan, Dewayne E. Perry","ACM SIGSOFT Software Engineering Notes,   Volume 30 Issue 4, July 2005, Publisher: ACM",0,0
domain engineering approach specifying applying reference model,business process modeling design essential part business process management gained much attention recent year important tool purpose reference model whose aim capture domain knowledge assist design enterprise specific business process however much attention given content model actual process reusing knowledge extensively addressed order address lack propose utilize domain engineering approach called applicationbased domain modeling adom purpose specifying applying reference model demonstrate approach specifying sell process reference model instantiating chocolate manufacturer benefit utilizing adom approach specifying business model provisioning validation template reference model ability apply approach various modeling language business process view,2005,http://hevra.haifa.ac.il/~is-web/images/lecturers_files/spnina_files/publications/ReinhartzSofferSturm.pdf,"Iris Reinhartz-Berger, Pnina Soffer, Arnon Sturm","Proceedings of the Workshop Enterprise Modelling and Information Systems Architectures, volume 75 of Lecture Notes in Informatics",0,0
family empirical study compare informal optimization based planning software release,replication experiment performing series related study aim attaining higher level validity result paper report series empirical study devoted comparing informal release planning two variant optimization based release planning two research question studied optimization based release planning compare informal planning term time generate release plan feasibility quality plan ii understanding confidence generated solution trust release planning process family empirical study paper present two type result related two research question compare release planning technique ii evolution lesson learned conducting study,2006,http://dl.acm.org/citation.cfm?id=1159766&CFID=932222700&CFTOKEN=76569322,"Gengshen Du, Jim McElroy, Guenther Ruhe","September 2006, ISESE '06: Proceedings of the 2006 ACM/IEEE international symposium on Empirical software engineering, Publisher: ACM",0,0
fast computation inter class overlap measure using prototype reduction scheme,pattern recognition pr application advantageous accuracy error rate classifier evaluated bounded prior testing real life setting also well known two class conditional distribution large overlapping volume classification accuracy poor intend use classification accuracy criterion evaluating pr system point within overlapping volume tend le significance determining prototype unfortunately computation index quantify overlapping volume expensive vein propose strategy using prototype reduction scheme pr approximately compute latter paper show completely discarding point included pr obtain reduced set sample point using turn measure overlapping volume computed value corresponding figure comparable obtained original training set one considers data point even though computation required obtain prototype corresponding measure significantly le proposed method rigorously tested artificial real life data set result obtained opinion quite impressive sometimes faster two order magnitude,2008,http://dl.acm.org/citation.cfm?id=1788731&CFID=932213803&CFTOKEN=52754920,Sang-Woon Kim and B. John Oommen,"Book Series Lecture Notes in Computer Science, Volume 5032/2008, Book Advances in Artificial Intelligence, Pages 173-184, SpringerLink Date Tuesday, May 20, 2008",0,0
first draft model driven method designing graphical user interface rich internet application,design development graphical user interface rich internet application well known difficult task tool designer must aware computing platform user characteristic education social background among others environment within user must interact application present method design type user interface model based applies iterative series xslt transformation translate abstract modeled interface final user interface coded specific platform order avoid proprietary engine dependency designing task usixml used model level several model based technology proposed paper review xml compliant user interface description language xaml,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4022089,"By Francisco J. Martinez-Ruiz , Jaime Munoz Arteaga , Jean Vanderdonckt , Juan M. Gonzalez-Calleros , Ricardo Mendoza","Found in: Fourth Latin American Web Congress (LA-WEB'06)  
Issue Date:October 2006 , pp. 32-38",0,0
flexible method maintaining software metric data universal metric repository,neglected aspect software measurement program done metric collected often database metric information tend developed afterthought little concession future data need long term sustaining metric collection effort metric repository facilitate going metric collection effort well serving corporate memory past project history experience order address issue describe transformational view software development treat software development process series artifact transformation transformation input produce output use approach support flexible software engineering metric repository,2004,http://www.sciencedirect.com/science/article/pii/S016412120300092X,W. Harrison.,"Journal of Systems and Software 72 (2):225-234, 2004.",0,0
formal framework component deployment,prefetching effective method minimizing number fetch client server database management system paper formally define notion prefetching also formally propose new notion type level access locality type level access pattern type level access locality phenomenon repetitive pattern exist attribute referenced type level access pattern pattern attribute referenced accessing object develop efficient capturing prefetching policy based formal framework existing prefetching method based object level page level access pattern consist object id page id object accessed however drawback method work exactly object page accessed repeatedly contrast even though object accessed repeatedly technique effectively prefetches object attribute referenced repeatedly type level access locality many navigational application object relational database management system ordbmss type level access locality therefore technique employed ordbmss effectively reduce number fetch thereby significantly enhancing performance also address issue implementing proposed algorithm conducted extensive experiment prototype ordbms show effectiveness algorithm experimental result using benchmark real gi application xml application show technique reduces number fetch order magnitude improves elapsed time several factor demand fetching context based prefetching state art prefetching method result indicate approach provides new paradigm prefetching improves performance navigational application significantly practical method implemented commercial ordbmss,2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1501825,"Yu David Liu, Scott F. Smith","October 2006 
OOPSLA '06: Proceedings of the 21st annual ACM SIGPLAN conference on Object-oriented programming systems, languages, and applications 
Publisher: ACM",0,0
formalism context aware mobile computing,mobile device mobile phone pda gained wide spread popularity application kind mobile device adapt change context variation network bandwidth battery power connectivity reachability service host paper define context aware action system provides systematic method managing processing context information meaning context aware action system defined term classical action system property context aware action system proved using standard action system proof technique describe essential notion formalism illustrate framework example context aware service mobile application,2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372043,"By Lu Yan , Kaisa Sere","Found in: Third International Symposium on Parallel and Distributed Computing/Third International Workshop on Algorithms, Models and Tools for Parallel Computing on Heterogeneous Networks (ISPDC/HeteroPar'04) 
Issue Date:July 2004 , pp. 14-21",0,0
framework approach measure innovation maturity,innovation central theme mission statement majority knowledge economy organization represents core renewal process organization competitive organization innovate continuously aware improving enough three important phase arise one look organization respect innovation entirety cluster relationship,2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1559252,"Narayana, M.G.P.L.","(2005) IEEE International Engineering Management Conference, II, art. no. 1559252, pp. 765-769.",0,0
framework assessing business value service oriented architecture,paper present framework used analyzing decision regarding implementation service oriented architecture framework ass business value soa measuring modification cost effort needed become service oriented benefit gained enterprise using soa,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4278719,"By Robert Lagerstrom , Jonas Ohrstrom","Found in: IEEE International Conference on Services Computing (SCC 2007) 
Issue Date:July 2007 
pp. 670-671",0,0
framework building reality based interface wireless grid application,significant advance made improve speech recognition performance gesture handwriting recognition speech pen based system still found broad acceptance everyday life one reason inflexibility input modality used alone human communication natural flexible take advantage multiplicity communication signal working concert supply complementary information increase robustness redundancy present multimodal interface capable jointly interpreting speech pen based gesture handwriting context appointment scheduling application interpretation engine based semantic frame merging correctly interprets multimodal data set assuming perfect speech gesture handwriting recognition presence recognition error interpretation performance range dialog processing scheme us task domain knowledge guide user supplying information permit human computer interaction span several related multimodal input event,1996,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=550794,Orit Shaer,"CHI '05: CHI '05 extended abstracts on Human factors in computing systems, April 2005 , Publisher: ACM",0,0
framework classifying comparing software architecture evaluation method,software architecture evaluation proposed mean achieve quality attribute maintainability reliability system objective evaluation ass whether architecture lead desired quality attribute recently number evaluation method proposed however little consensus technical nontechnical issue method comprehensively address existing method suitable particular issue present set commonly known informally described feature evaluation method organizes within framework offer guidance choice appropriate method evaluation exercise use framework characterise eight sa evaluation method,2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1290484,"Muhammad Ali Babar, Liming Zhu, Ross Jeffery",Proceedings Australian Software Engineering Conference (ASWEC). (2004),0,0
framework developing knowledge based decision support system management variation order institutional building,study describes framework developing knowledge based decision support system kbdss making informed decision managing variation order institutional building kbdss framework consists two main component knowledge base decision support shell database developed collecting data source document institutional project questionnaire survey literature review depth interview session professional involved institutional project knowledge base developed initial sieving organization data database decision support shell would provide decision support structured process consisting building hierarchy main criterion suggested control rating control analyzing control selection multiple analytical technique kbdss would capable displaying variation relevant detail variety filtered knowledge various analysis available knowledge would eventually lead decision maker suggested control variation assist selecting appropriate control kbdss would assist project manager providing accurate timely information decision making user friendly system analyzing selecting control variation order institutional building study would assist building professional developing effective variation management system system would helpful take proactive measure reducing variation order finding study would also valuable building professional general,2006,http://itcon.org/paper/2006/21,"Arain, F.M., Pheng, L.S.","(2006) Electronic Journal of Information Technology in Construction, 11, pp. 285-307.",0,0
framework evaluating usability clinical monitoring technology,technology design complex task acceptability enhanced usability central design evaluating usability challenge purchaser developer technology developed framework testing usability clinical monitoring technology literature review experience designing clinical monitor framework help designer meet key international usability norm framework includes direct testing method thinking aloud question asking co discovery performance psychophysiological measurement indirect testing method include questionnaire interview observation ethnographic study self reporting log inspection third usability testing method also included use method described practical example would used development innovative monitor given throughout framework built range method ensure harmony user new clinical monitoring technology selected practical use,2007,https://link.springer.com/article/10.1007%2Fs10877-007-9091-y?LI=true,"Jeremy Daniels, Sidney Fels, Andre Kushniruk, Joanne Lim and J. Mark Ansermino","Journal Journal of Clinical Monitoring and Computing, Publisher Springer Netherlands, Volume 21, Number 5 / October, 2007, Pages 323-330, SpringerLink Date Thursday, August 16, 2007",0,0
framework methodology visual modeling language evaluation,present framework syntactic model definition implementation visual language analyze wide range existing visual language propose characterization according syntactic model framework implemented visual language compiler compiler vlcc system vlcc practical flexible extensible tool automatic generation visual programming environment allows implement visual language modeled according syntactic model,1997,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=626559,Anna E. Bobkowska,"MIS '05: Proceedings of the 2005 symposia on Metainformatics, November 2005, Publisher: ACM",0,0
